Charlie Chaplin
Paulette Goddard
Henry Bergman
Tiny Sandford
Chester Conklin
Hank Mann
Stanley Blystone
Al Ernest Garcia
Richard Alexander
Cecil Reynolds
Mira McKinney
Murdock MacQuarrie
Wilfred Lucas
Edward LeSaint
Fred Malatesta
Sammy Stein
Juana Sutton
Ted Oliver
Norman Ainsley
Bobby Barber
Heinie Conklin
Gloria DeHaven
Pat Flaherty
Chuck Hamilton
Pat Harmon
Lloyd Ingraham
Walter James
Jack Low
Buddy Messinger
Bruce Mitchell
Frank Moran
James C. Morton
Louis Natheaux
J. C. Nugent
Russ Powell
John Rand
Harry Wilson
